X	Y_Calc	Y_Init	Diff_Y_Calc_Init
      42.537000      17.763462      17.763627      -0.000165
      42.602000      17.209377      17.209312       0.000065
      42.662000      17.296652      17.296593       0.000059
      42.725000      17.425904      17.426078      -0.000174
      42.788000      17.597016      17.597263      -0.000247
      42.852000      17.816964      17.817189      -0.000225
      42.916000      18.087808      18.087987      -0.000179
      42.977000      18.398379      18.398400      -0.000021
      43.041000      18.785264      18.785147       0.000117
      43.102000      19.219120      19.219124      -0.000004
      43.164000      19.734359      19.734324       0.000035
      43.227000      20.345623      20.345727      -0.000104
      43.291000      21.071723      21.071741      -0.000018
      43.351000      21.864627      21.864676      -0.000049
      43.415000      22.851689      22.851879      -0.000190
      43.479000      24.015033      24.015164      -0.000131
      43.542000      25.367568      25.367792      -0.000224
      43.601000      26.864157      26.863981       0.000176
      43.664000      28.764676      28.764547       0.000129
      43.731000      31.223233      31.223150       0.000083
      43.797000      34.216407      34.216338       0.000069
      43.856000      37.532221      37.532344      -0.000123
      43.914000      41.612102      41.612275      -0.000173
      43.981000      47.949568      47.949491       0.000077
      44.047000      57.677099      57.676773       0.000326
      44.106000      73.564654      73.564982      -0.000328
      44.164000     105.254630     105.254353       0.000277
      44.231000     186.405590     186.405612      -0.000022
      44.297000     354.961822     354.962118      -0.000296
      44.356000     616.766472     616.766432       0.000040
      44.414000     982.669323     982.669442      -0.000119
      44.481000    1474.001735    1474.001541       0.000194
      44.547000    1864.482839    1864.482908      -0.000069
      44.606000    1961.113994    1961.113848       0.000146
      44.664000    1765.693695    1765.693884      -0.000189
      44.731000    1316.357915    1316.358059      -0.000144
      44.797000     845.669967     845.669702       0.000265
      44.856000     514.336500     514.336409       0.000091
      44.914000     300.493916     300.494007      -0.000091
      44.981000     168.038502     168.038575      -0.000073
      45.047000     111.475066     111.475264      -0.000198
      45.106000      91.570378      91.570189       0.000189
      45.164000      84.721531      84.721309       0.000222
      45.231000      84.050037      84.049881       0.000156
      45.297000      87.644309      87.643947       0.000362
      45.356000      93.518477      93.518858      -0.000381
      45.412000     101.153099     101.152933       0.000166
      45.471000     111.196685     111.196506       0.000179
      45.534000     123.964708     123.964391       0.000317
      45.595000     137.881709     137.881691       0.000018
      45.648000     151.041700     151.041965      -0.000265
      45.705000     165.653861     165.654006      -0.000145
      45.765000     180.422485     180.422541      -0.000056
      45.820000     192.984591     192.984619      -0.000028
      45.875000     203.254274     203.254417      -0.000143
      45.929000     210.119923     210.119870       0.000053
      45.983000     212.994506     212.994388       0.000118
      46.046000     210.867249     210.867418      -0.000169
      46.103000     204.171057     204.170964       0.000093
      46.166000     192.533439     192.533129       0.000310
      46.228000     178.206787     178.206731       0.000056
      46.287000     163.254087     163.254185      -0.000098
      46.343000     148.834865     148.834680       0.000185
      46.417000     130.560336     130.560325       0.000011
      46.481000     116.678521     116.678904      -0.000383
      46.542000     104.562974     104.562674       0.000300
      46.601000      94.473812      94.474192      -0.000380
      46.667000      85.148041      85.148233      -0.000192
      46.731000      78.011757      78.012010      -0.000253
      46.792000      72.866019      72.866142      -0.000123
      46.851000      69.290495      69.290152       0.000343
      46.917000      66.774386      66.774247       0.000139
      46.981000      65.671597      65.671772      -0.000175
      47.042000      65.753396      65.753260       0.000136
      47.101000      66.825516      66.825579      -0.000063
      47.167000      69.193735      69.193745      -0.000010
      47.231000      70.863567      70.863646      -0.000079
      47.292000      75.644023      75.644044      -0.000021
      47.351000      81.705378      81.705332       0.000046
      47.417000      90.551440      90.551053       0.000387
      47.481000     101.692435     101.692433       0.000002
      47.542000     115.249865     115.250206      -0.000341
      47.601000     131.659807     131.659805       0.000002
      47.667000     154.632513     154.632161       0.000352
      47.731000     182.292023     182.292171      -0.000148
      47.792000     214.291834     214.291587       0.000247
      47.851000     250.906348     250.906077       0.000271
      47.917000     298.800030     298.800133      -0.000103
      47.981000     352.102242     352.102039       0.000203
      48.042000     408.694414     408.694238       0.000176
      48.103000     469.770801     469.771100      -0.000299
      48.166000     535.524542     535.524489       0.000053
      48.228000     599.796137     599.795815       0.000322
      48.287000     656.616970     656.617164      -0.000194
      48.346000     704.509717     704.509433       0.000284
      48.414000     742.185754     742.185685       0.000069
      48.477000     755.159379     755.159591      -0.000212
      48.539000     745.242144     745.242458      -0.000314
      48.597000     716.826848     716.826883      -0.000035
      48.664000     665.839090     665.838830       0.000260
      48.727000     606.213368     606.212945       0.000423
      48.787000     544.292975     544.292861       0.000114
      48.846000     482.510533     482.510255       0.000278
      48.911000     416.764147     416.763791       0.000356
      48.974000     357.665601     357.665287       0.000314
      49.044000     297.731378     297.731210       0.000168
      49.103000     254.511191     254.511156       0.000035
      49.162000     217.126411     217.126375       0.000036
      49.227000     182.449805     182.449858      -0.000053
      49.294000     153.184872     153.184906      -0.000034
      49.353000     132.323157     132.322880       0.000277
      49.412000     115.379597     115.379534       0.000063
      49.477000     101.097797     101.097924      -0.000127
      49.544000      89.201948      89.201586       0.000362
      49.603000      81.019472      81.019116       0.000356
      49.662000      74.553263      74.553623      -0.000360
      49.727000      69.029175      69.029492      -0.000317
      49.794000      64.748445      64.748400       0.000045
      49.853000      61.970659      61.970365       0.000294
      49.912000      60.011827      60.011775       0.000052
      49.977000      58.745859      58.745721       0.000138
      50.044000      58.421505      58.421795      -0.000290
      50.103000      59.010399      59.010130       0.000269
      50.162000      60.500148      60.499930       0.000218
      50.227000      63.311487      63.311343       0.000144
      50.294000      67.669333      67.668998       0.000335
      50.353000      72.877858      72.877626       0.000232
      50.412000      79.496596      79.496906      -0.000310
      50.477000      88.529796      88.530334      -0.000538
      50.544000      99.820657      99.820293       0.000364
      50.603000     111.385076     111.384579       0.000497
      50.662000     124.336882     124.337108      -0.000226
      50.727000     139.901945     139.901976      -0.000031
      50.794000     156.770953     156.770839       0.000114
      50.850000     170.817325     170.817778      -0.000453
      50.906000     183.986105     183.986325      -0.000220
      50.960000     194.942903     194.942566       0.000337
      51.016000     203.471550     203.471417       0.000133
      51.070000     208.074118     208.073918       0.000200
      51.126000     208.482692     208.482845      -0.000153
      51.192000     203.154574     203.154382       0.000192
      51.252000     193.528171     193.527867       0.000304
      51.307000     181.694532     181.694800      -0.000268
      51.360000     168.518925     168.519210      -0.000285
      51.416000     153.649357     153.648941       0.000416
      51.477000     137.260124     137.260382      -0.000258
      51.540000     120.916904     120.916658       0.000246
      51.602000     105.955782     105.956119      -0.000337
      51.658000      93.673142      93.673105       0.000037
      51.712000      83.075516      83.075449       0.000067
      51.762000      74.378777      74.379102      -0.000325
      51.815000      66.326810      66.326473       0.000337
      51.872000      58.951238      58.951029       0.000209
      51.939000      51.854540      51.854354       0.000186
      52.003000      46.507875      46.507681       0.000194
      52.060000      42.775552      42.775508       0.000044
      52.122000      39.685752      39.685402       0.000350
      52.189000      37.333758      37.333698       0.000060
      52.253000      35.937432      35.937337       0.000095
      52.310000      35.325061      35.324896       0.000165
      52.372000      35.299339      35.299458      -0.000119
      52.439000      35.999078      35.999224      -0.000146
      52.503000      37.376562      37.376367       0.000195
      52.560000      39.190622      39.190657      -0.000035
      52.622000      41.805817      41.805547       0.000270
      52.689000      45.375036      45.374771       0.000265
      52.753000      49.478195      49.478473      -0.000278
      52.810000      53.646595      53.646446       0.000149
      52.872000      58.628441      58.628393       0.000048
      52.939000      64.334641      64.334394       0.000247
      53.003000      69.797727      69.797900      -0.000173
      53.060000      74.343932      74.344237      -0.000305
      53.122000      78.509139      78.509306      -0.000167
      53.189000      81.549527      81.549448       0.000079
      53.253000      82.568630      82.568438       0.000192
      53.310000      81.758249      81.758393      -0.000144
      53.372000      79.115825      79.115994      -0.000169
      53.439000      74.600508      74.600306       0.000202
      53.503000      69.790774      69.791299      -0.000525
      53.557000      64.819005      64.819243      -0.000238
      53.611000      59.736404      59.736412      -0.000008
      53.666000      54.655754      54.655549       0.000205
      53.726000      49.401191      49.401469      -0.000278
      53.789000      44.346725      44.346961      -0.000236
      53.849000      40.053751      40.053710       0.000041
      53.909000      36.690587      36.690704      -0.000117
      53.969000      33.482028      33.481622       0.000406
      54.027000      30.872266      30.871910       0.000356
      54.089000      28.574053      28.574501      -0.000448
      54.158000      26.719274      26.719216       0.000058
      54.221000      25.299952      25.299624       0.000328
      54.280000      24.281058      24.281474      -0.000416
      54.340000      23.505096      23.505079       0.000017
      54.408000      22.885908      22.886300      -0.000392
      54.475000      22.498525      22.497961       0.000564
      54.538000      22.297430      22.297241       0.000189
      54.595000      22.231047      22.231691      -0.000644
      54.660000      22.272824      22.273385      -0.000561
      54.725000      22.426362      22.426933      -0.000571
      54.788000      22.674535      22.675066      -0.000531
      54.845000      22.981837      22.982030      -0.000193
